agno;mes;entidades;bancos;cajas;euribor;fijo;diferencial;otro
1997;Enero;7,867;7,573;8,255;;;;
1997;Febrero;7,604;7,337;7,922;;;;
1997;Marzo;7,379;7,216;7,568;;;;
1997;Abril;7,195;7,068;7,355;;;;
1997;Mayo;7,104;6,971;7,266;;;;
1997;Junio;6,82;6,717;6,949;;;;
1997;Julio;6,715;6,624;6,824;;;;
1997;Agosto;6,584;6,489;6,687;;;;
1997;Septiembre;6,518;6,463;6,58;;;;
1997;Octubre;6,509;6,384;6,662;;;;
1997;Noviembre;6,385;6,252;6,537;;;;
1997;Diciembre;6,255;6,196;6,328;;;;
1998;Enero;6,115;5,988;6,268;;;;
1998;Febrero;5,98;5,879;6,099;;;;
1998;Marzo;5,896;5,827;5,978;;;;
1998;Abril;5,776;5,659;5,906;;;;
1998;Mayo;5,7;5,603;5,817;;;;
1998;Junio;5,636;5,545;5,744;;;;
1998;Julio;5,592;5,513;5,69;;;;
1998;Agosto;5,628;5,572;5,697;;;;
1998;Septiembre;5,548;5,439;5,68;;;;
1998;Octubre;5,495;5,428;5,575;;;;
1998;Noviembre;5,296;5,176;5,44;;;;
1998;Diciembre;5,15;5,052;5,265;;;;
1999;Enero;5,131;5,015;5,262;3,062;;;
1999;Febrero;4,95;4,787;5,147;3,03;;;
1999;Marzo;4,816;4,654;5,007;3,046;;;
1999;Abril;4,787;4,599;4,997;2,756;;;
1999;Mayo;4,644;4,454;4,861;2,683;;;
1999;Junio;4,502;4,296;4,733;2,836;;;
1999;Julio;4,435;4,263;4,626;3,03;;;
1999;Agosto;4,471;4,316;4,648;3,237;;;
1999;Septiembre;4,545;4,436;4,666;3,301;;;
1999;Octubre;4,665;4,578;4,762;3,684;;;
1999;Noviembre;4,807;4,772;4,847;3,689;;;
1999;Diciembre;4,94;4,876;5,016;3,826;;;
2000;Enero;5,04;4,997;5,087;3,949;;;
2000;Febrero;5,166;5,118;5,217;4,111;;;
2000;Marzo;5,231;5,173;5,296;4,267;;;
2000;Abril;5,353;5,32;5,391;4,365;;;
2000;Mayo;5,522;5,49;5,557;4,849;;;
2000;Junio;5,703;5,653;5,753;4,965;;;
2000;Julio;5,891;5,883;5,899;5,105;;;
2000;Agosto;6,029;5,977;6,08;5,248;;;
2000;Septiembre;6,232;6,238;6,227;5,219;;;
2000;Octubre;6,284;6,163;6,402;5,218;;;
2000;Noviembre;6,348;6,224;6,471;5,193;;;
2000;Diciembre;6,371;6,26;6,485;4,881;;;
2001;Enero;6,39;6,248;6,532;4,574;;;
2001;Febrero;6,28;6,128;6,433;4,591;;;
2001;Marzo;6,147;5,971;6,323;4,471;;;
2001;Abril;6,025;5,814;6,241;4,481;;;
2001;Mayo;5,926;5,757;6,099;4,52;;;
2001;Junio;5,806;5,64;5,971;4,312;;;
2001;Julio;5,768;5,634;5,908;4,311;;;
2001;Agosto;5,723;5,587;5,852;4,108;;;
2001;Septiembre;5,627;5,48;5,772;3,77;;;
2001;Octubre;5,39;5,206;5,582;3,369;;;
2001;Noviembre;5,19;5,009;5,372;3,198;;;
2001;Diciembre;4,852;4,685;5,027;3,298;;;
2002;Enero;4,737;4,562;4,912;3,483;;;
2002;Febrero;4,768;4,65;4,887;3,594;;;
2002;Marzo;4,785;4,695;4,874;3,816;;;
2002;Abril;4,86;4,799;4,919;3,86;;;
2002;Mayo;4,985;4,917;5,052;3,963;;;
2002;Junio;4,995;4,925;5,062;3,869;;;
2002;Julio;5,009;4,916;5,1;3,645;;;
2002;Agosto;4,999;4,883;5,103;3,44;;;
2002;Septiembre;4,818;4,698;4,925;3,236;;;
2002;Octubre;4,69;4,542;4,815;3,126;;;
2002;Noviembre;4,517;4,408;4,609;3,017;;;
2002;Diciembre;4,38;4,253;4,49;2,872;;;
2003;Enero;4,252;4,19;4,307;2,705;;;
2003;Febrero;4,146;4,053;4,225;2,504;;;
2003;Marzo;3,976;3,878;4,068;2,411;;;
2003;Abril;3,886;3,825;3,941;2,447;;;
2003;Mayo;3,823;3,764;3,876;2,252;;;
2003;Junio;3,707;3,617;3,787;2,014;;;
2003;Julio;3,541;3,457;3,619;2,076;;;
2003;Agosto;3,47;3,381;3,548;2,279;;;
2003;Septiembre;3,428;3,335;3,518;2,258;;;
2003;Octubre;3,442;3,343;3,532;2,303;;;
2003;Noviembre;3,432;3,31;3,539;2,41;;;
2003;Diciembre;3,458;3,374;3,533;2,381;;;
2004;Enero;3,475;3,358;3,572;2,216;;;
2004;Febrero;3,446;3,342;3,533;2,163;;;
2004;Marzo;3,358;3,241;3,46;2,055;;;
2004;Abril;3,279;3,165;3,384;2,163;;;
2004;Mayo;3,255;3,144;3,351;2,297;;;
2004;Junio;3,307;3,245;3,362;2,404;;;
2004;Julio;3,323;3,252;3,388;2,361;;;
2004;Agosto;3,392;3,335;3,441;2,302;;;
2004;Septiembre;3,367;3,286;3,436;2,377;;;
2004;Octubre;3,332;3,235;3,419;2,316;;;
2004;Noviembre;3,383;3,314;3,445;2,328;;;
2004;Diciembre;3,349;3,265;3,424;2,301;;;
2005;Enero;3,334;3,236;3,422;2,312;;;
2005;Febrero;3,332;3,234;3,416;2,31;;;
2005;Marzo;3,343;3,265;3,411;2,335;;;
2005;Abril;3,325;3,215;3,419;2,265;;;
2005;Mayo;3,318;3,203;3,417;2,193;;;
2005;Junio;3,27;3,164;3,365;2,103;;;
2005;Julio;3,196;3,064;3,312;2,168;;;
2005;Agosto;3,19;3,072;3,293;2,223;;;
2005;Septiembre;3,197;3,087;3,292;2,22;;;
2005;Octubre;3,225;3,125;3,313;2,414;;;
2005;Noviembre;3,264;3,173;3,342;2,684;;;
2005;Diciembre;3,404;3,33;3,471;2,783;;;
2006;Enero;3,591;3,52;3,651;2,833;;;
2006;Febrero;3,701;3,642;3,751;2,914;;;
2006;Marzo;3,756;3,682;3,821;3,105;;;
